items,support,ordered_statistics
"frozenset({'mineral water', 'nonfat milk'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'nonfat milk'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'mineral water', 'chocolate', 'chicken'})",0.0036424052655121735,"[OrderedStatistic(items_base=frozenset({'chocolate', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5181818181818182, lift=5.224888706654171)]"
"frozenset({'spaghetti', 'ground beef', 'chicken'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'ground beef', 'chicken'}), items_add=frozenset({'spaghetti'}), confidence=0.5070422535211269, lift=6.679043960734103)]"
"frozenset({'mineral water', 'pancakes', 'chicken'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'pancakes', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5373134328358209, lift=5.417795045391599)]"
"frozenset({'olive oil', 'mineral water', 'chocolate'})",0.003961914499329031,"[OrderedStatistic(items_base=frozenset({'olive oil', 'chocolate'}), items_add=frozenset({'mineral water'}), confidence=0.5081967213114754, lift=5.12420779111036)]"
"frozenset({'mineral water', 'chocolate', 'soup'})",0.0026838775640616016,"[OrderedStatistic(items_base=frozenset({'chocolate', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.56, lift=5.646546391752578)]"
"frozenset({'eggs', 'mineral water', 'cooking oil'})",0.00306728864464183,"[OrderedStatistic(items_base=frozenset({'eggs', 'cooking oil'}), items_add=frozenset({'mineral water'}), confidence=0.5454545454545454, lift=5.499882849109652)]"
"frozenset({'spaghetti', 'ground beef', 'cooking oil'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'ground beef', 'cooking oil'}), items_add=frozenset({'spaghetti'}), confidence=0.5714285714285715, lift=7.527176527176528)]"
"frozenset({'mineral water', 'pancakes', 'cooking oil'})",0.002236564636718001,"[OrderedStatistic(items_base=frozenset({'pancakes', 'cooking oil'}), items_add=frozenset({'mineral water'}), confidence=0.5932203389830508, lift=5.981511008212475)]"
"frozenset({'eggs', 'mineral water', 'ground beef'})",0.00479263850725286,"[OrderedStatistic(items_base=frozenset({'eggs', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5033557046979865, lift=5.075395246661592)]"
"frozenset({'eggs', 'mineral water', 'soup'})",0.0023643683302447442,"[OrderedStatistic(items_base=frozenset({'eggs', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5522388059701493, lift=5.568289352208033)]"
"frozenset({'eggs', 'spaghetti', 'red wine'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'eggs', 'red wine'}), items_add=frozenset({'spaghetti'}), confidence=0.5283018867924528, lift=6.959087732672638)]"
"frozenset({'mineral water', 'milk', 'escalope'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'milk', 'escalope'}), items_add=frozenset({'mineral water'}), confidence=0.5172413793103449, lift=5.215406150017775)]"
"frozenset({'frozen vegetables', 'mineral water', 'ground beef'})",0.004409227426672631,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5433070866141733, lift=5.478229767026544)]"
"frozenset({'frozen vegetables', 'ground beef', 'spaghetti'})",0.004153620039619145,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5118110236220473, lift=6.741860865876616)]"
"frozenset({'frozen vegetables', 'soup', 'milk'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'soup'}), items_add=frozenset({'milk'}), confidence=0.5, lift=8.891477272727272)]"
"frozenset({'frozen vegetables', 'mineral water', 'olive oil'})",0.0031311904914052015,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'olive oil'}), items_add=frozenset({'mineral water'}), confidence=0.5764705882352941, lift=5.812621285627652)]"
"frozenset({'frozen vegetables', 'mineral water', 'soup'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.6333333333333333, lift=6.385975085910652)]"
"frozenset({'frozen vegetables', 'mineral water', 'turkey'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'turkey'}), items_add=frozenset({'mineral water'}), confidence=0.5076923076923077, lift=5.119121728786677)]"
"frozenset({'frozen vegetables', 'spaghetti', 'olive oil'})",0.0027477794108249727,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'olive oil'}), items_add=frozenset({'spaghetti'}), confidence=0.5058823529411764, lift=6.663765102000396)]"
"frozenset({'mineral water', 'ground beef', 'low fat yogurt'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'ground beef', 'low fat yogurt'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'mineral water', 'ground beef', 'milk'})",0.005303853281359831,"[OrderedStatistic(items_base=frozenset({'ground beef', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5060975609756098, lift=5.1030417085743025)]"
"frozenset({'pancakes', 'mineral water', 'ground beef'})",0.003578503418748802,"[OrderedStatistic(items_base=frozenset({'pancakes', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5185185185185185, lift=5.228283696067201)]"
"frozenset({'mineral water', 'ground beef', 'soup'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'ground beef', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'spaghetti', 'ground beef', 'shrimp'})",0.0028755831043517158,"[OrderedStatistic(items_base=frozenset({'ground beef', 'shrimp'}), items_add=frozenset({'spaghetti'}), confidence=0.5232558139534884, lift=6.892618040873856)]"
"frozenset({'olive oil', 'mineral water', 'milk'})",0.004089718192855774,"[OrderedStatistic(items_base=frozenset({'olive oil', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.512, lift=5.162556701030928)]"
"frozenset({'mineral water', 'soup', 'milk'})",0.004089718192855774,"[OrderedStatistic(items_base=frozenset({'soup', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5765765765765767, lift=5.8136899786384335)]"
"frozenset({'turkey', 'mineral water', 'milk'})",0.0029394849511150873,"[OrderedStatistic(items_base=frozenset({'turkey', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5411764705882353, lift=5.456746513038205)]"
"frozenset({'mineral water', 'nan', 'nonfat milk'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'nan', 'nonfat milk'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'olive oil', 'mineral water', 'shrimp'})",0.0021726627899546296,"[OrderedStatistic(items_base=frozenset({'olive oil', 'shrimp'}), items_add=frozenset({'mineral water'}), confidence=0.5573770491803278, lift=5.620098867669427)]"
"frozenset({'olive oil', 'mineral water', 'soup'})",0.002492172023771487,"[OrderedStatistic(items_base=frozenset({'olive oil', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5820895522388059, lift=5.869277965840897)]"
"frozenset({'olive oil', 'mineral water', 'tomatoes'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'olive oil', 'tomatoes'}), items_add=frozenset({'mineral water'}), confidence=0.5740740740740741, lift=5.788456949217259)]"
"frozenset({'mineral water', 'pancakes', 'soup'})",0.002044859096427887,"[OrderedStatistic(items_base=frozenset({'pancakes', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.6274509803921569, lift=6.326662623812411)]"
"frozenset({'mineral water', 'pancakes', 'whole wheat rice'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'pancakes', 'whole wheat rice'}), items_add=frozenset({'mineral water'}), confidence=0.5961538461538461, lift=6.011089908802537)]"
"frozenset({'mineral water', 'salmon', 'spaghetti'})",0.003195092338168573,"[OrderedStatistic(items_base=frozenset({'salmon', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'mineral water', 'soup', 'spaghetti'})",0.003578503418748802,"[OrderedStatistic(items_base=frozenset({'soup', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5233644859813084, lift=5.277146160516427)]"
"frozenset({'mineral water', 'tomatoes', 'soup'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'tomatoes', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5384615384615384, lift=5.4293715305313235)]"
"frozenset({'olive oil', 'tomatoes', 'spaghetti'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'olive oil', 'tomatoes'}), items_add=frozenset({'spaghetti'}), confidence=0.611111111111111, lift=8.049897119341564)]"
"frozenset({'mineral water', 'chocolate', 'nan', 'chicken'})",0.0036424052655121735,"[OrderedStatistic(items_base=frozenset({'nan', 'chocolate', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5181818181818182, lift=5.224888706654171)]"
"frozenset({'nan', 'ground beef', 'chicken', 'spaghetti'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'chicken'}), items_add=frozenset({'spaghetti'}), confidence=0.5070422535211269, lift=6.679043960734103)]"
"frozenset({'mineral water', 'pancakes', 'nan', 'chicken'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'chicken'}), items_add=frozenset({'mineral water'}), confidence=0.5373134328358209, lift=5.417795045391599)]"
"frozenset({'eggs', 'mineral water', 'ground beef', 'chocolate'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'eggs', 'ground beef', 'chocolate'}), items_add=frozenset({'mineral water'}), confidence=0.6122448979591837, lift=6.173337891857774)]"
"frozenset({'frozen vegetables', 'mineral water', 'chocolate', 'milk'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'chocolate', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'frozen vegetables', 'mineral water', 'chocolate', 'spaghetti'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5254237288135594, lift=5.29790975013105)]"
"frozenset({'olive oil', 'mineral water', 'chocolate', 'nan'})",0.003961914499329031,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'chocolate'}), items_add=frozenset({'mineral water'}), confidence=0.5081967213114754, lift=5.12420779111036)]"
"frozenset({'mineral water', 'chocolate', 'nan', 'soup'})",0.0026838775640616016,"[OrderedStatistic(items_base=frozenset({'nan', 'chocolate', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.56, lift=5.646546391752578)]"
"frozenset({'olive oil', 'mineral water', 'chocolate', 'spaghetti'})",0.0018531535561377723,"[OrderedStatistic(items_base=frozenset({'olive oil', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5471698113207547, lift=5.517178078194903)]"
"frozenset({'mineral water', 'pancakes', 'chocolate', 'spaghetti'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'pancakes', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5490196078431373, lift=5.535829795835861)]"
"frozenset({'eggs', 'mineral water', 'nan', 'cooking oil'})",0.00306728864464183,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'cooking oil'}), items_add=frozenset({'mineral water'}), confidence=0.5454545454545454, lift=5.499882849109652)]"
"frozenset({'nan', 'ground beef', 'cooking oil', 'spaghetti'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'cooking oil'}), items_add=frozenset({'spaghetti'}), confidence=0.5714285714285715, lift=7.527176527176528)]"
"frozenset({'mineral water', 'pancakes', 'nan', 'cooking oil'})",0.002236564636718001,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'cooking oil'}), items_add=frozenset({'mineral water'}), confidence=0.5932203389830508, lift=5.981511008212475)]"
"frozenset({'eggs', 'mineral water', 'frozen vegetables', 'milk'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'eggs', 'frozen vegetables', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5090909090909091, lift=5.1332239925023435)]"
"frozenset({'eggs', 'mineral water', 'ground beef', 'nan'})",0.00479263850725286,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5033557046979865, lift=5.075395246661592)]"
"frozenset({'eggs', 'mineral water', 'nan', 'soup'})",0.0023643683302447442,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5522388059701493, lift=5.568289352208033)]"
"frozenset({'eggs', 'nan', 'red wine', 'spaghetti'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'red wine'}), items_add=frozenset({'spaghetti'}), confidence=0.5283018867924528, lift=6.959087732672638)]"
"frozenset({'mineral water', 'milk', 'nan', 'escalope'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'nan', 'milk', 'escalope'}), items_add=frozenset({'mineral water'}), confidence=0.5172413793103449, lift=5.215406150017775)]"
"frozenset({'frozen vegetables', 'mineral water', 'ground beef', 'milk'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'ground beef', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.6511627906976745, lift=6.565751618316951)]"
"frozenset({'frozen vegetables', 'mineral water', 'ground beef', 'nan'})",0.004409227426672631,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5433070866141733, lift=5.478229767026544)]"
"frozenset({'frozen vegetables', 'mineral water', 'ground beef', 'spaghetti'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'ground beef', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5076923076923077, lift=5.119121728786677)]"
"frozenset({'frozen vegetables', 'nan', 'ground beef', 'spaghetti'})",0.004153620039619145,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'ground beef'}), items_add=frozenset({'spaghetti'}), confidence=0.5118110236220473, lift=6.741860865876616)]"
"frozenset({'frozen vegetables', 'mineral water', 'spaghetti', 'milk'})",0.0021726627899546296,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'spaghetti', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5573770491803278, lift=5.620098867669427)]"
"frozenset({'frozen vegetables', 'nan', 'soup', 'milk'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'soup'}), items_add=frozenset({'milk'}), confidence=0.5, lift=8.891477272727272)]"
"frozenset({'frozen vegetables', 'mineral water', 'nan', 'olive oil'})",0.0031311904914052015,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'olive oil'}), items_add=frozenset({'mineral water'}), confidence=0.5764705882352941, lift=5.812621285627652)]"
"frozenset({'frozen vegetables', 'mineral water', 'nan', 'soup'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.6333333333333333, lift=6.385975085910652)]"
"frozenset({'frozen vegetables', 'mineral water', 'nan', 'turkey'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'turkey'}), items_add=frozenset({'mineral water'}), confidence=0.5076923076923077, lift=5.119121728786677)]"
"frozenset({'frozen vegetables', 'nan', 'olive oil', 'spaghetti'})",0.0027477794108249727,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'olive oil'}), items_add=frozenset({'spaghetti'}), confidence=0.5058823529411764, lift=6.663765102000396)]"
"frozenset({'mineral water', 'ground beef', 'low fat yogurt', 'nan'})",0.0023004664834813727,"[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'low fat yogurt'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'mineral water', 'ground beef', 'nan', 'milk'})",0.005303853281359831,"[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5060975609756098, lift=5.1030417085743025)]"
"frozenset({'pancakes', 'mineral water', 'ground beef', 'nan'})",0.003578503418748802,"[OrderedStatistic(items_base=frozenset({'pancakes', 'nan', 'ground beef'}), items_add=frozenset({'mineral water'}), confidence=0.5185185185185185, lift=5.228283696067201)]"
"frozenset({'mineral water', 'ground beef', 'nan', 'soup'})",0.0024282701770081154,"[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5205479452054794, lift=5.248746645953961)]"
"frozenset({'nan', 'ground beef', 'shrimp', 'spaghetti'})",0.0028755831043517158,"[OrderedStatistic(items_base=frozenset({'nan', 'ground beef', 'shrimp'}), items_add=frozenset({'spaghetti'}), confidence=0.5232558139534884, lift=6.892618040873856)]"
"frozenset({'olive oil', 'mineral water', 'nan', 'milk'})",0.004089718192855774,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.512, lift=5.162556701030928)]"
"frozenset({'mineral water', 'nan', 'soup', 'milk'})",0.004089718192855774,"[OrderedStatistic(items_base=frozenset({'nan', 'soup', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5765765765765767, lift=5.8136899786384335)]"
"frozenset({'turkey', 'mineral water', 'nan', 'milk'})",0.0029394849511150873,"[OrderedStatistic(items_base=frozenset({'turkey', 'nan', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5411764705882353, lift=5.456746513038205)]"
"frozenset({'olive oil', 'mineral water', 'nan', 'shrimp'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'shrimp'}), items_add=frozenset({'mineral water'}), confidence=0.5499999999999999, lift=5.545715206185566)]"
"frozenset({'olive oil', 'mineral water', 'nan', 'soup'})",0.002492172023771487,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5820895522388059, lift=5.869277965840897)]"
"frozenset({'olive oil', 'mineral water', 'tomatoes', 'nan'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'tomatoes'}), items_add=frozenset({'mineral water'}), confidence=0.5740740740740741, lift=5.788456949217259)]"
"frozenset({'mineral water', 'pancakes', 'nan', 'soup'})",0.002044859096427887,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.6274509803921569, lift=6.326662623812411)]"
"frozenset({'mineral water', 'pancakes', 'whole wheat rice', 'nan'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'whole wheat rice'}), items_add=frozenset({'mineral water'}), confidence=0.5961538461538461, lift=6.011089908802537)]"
"frozenset({'mineral water', 'nan', 'salmon', 'spaghetti'})",0.003195092338168573,"[OrderedStatistic(items_base=frozenset({'nan', 'salmon', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'mineral water', 'nan', 'soup', 'spaghetti'})",0.003578503418748802,"[OrderedStatistic(items_base=frozenset({'nan', 'soup', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5233644859813084, lift=5.277146160516427)]"
"frozenset({'mineral water', 'tomatoes', 'nan', 'soup'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'nan', 'tomatoes', 'soup'}), items_add=frozenset({'mineral water'}), confidence=0.5384615384615384, lift=5.4293715305313235)]"
"frozenset({'olive oil', 'nan', 'tomatoes', 'spaghetti'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'tomatoes'}), items_add=frozenset({'spaghetti'}), confidence=0.611111111111111, lift=8.049897119341564)]"
"frozenset({'nan', 'ground beef', 'eggs', 'mineral water', 'chocolate'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'ground beef', 'chocolate'}), items_add=frozenset({'mineral water'}), confidence=0.6122448979591837, lift=6.173337891857774)]"
"frozenset({'nan', 'milk', 'frozen vegetables', 'mineral water', 'chocolate'})",0.0019170554029011438,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'chocolate', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5, lift=5.041559278350515)]"
"frozenset({'nan', 'frozen vegetables', 'spaghetti', 'mineral water', 'chocolate'})",0.0019809572496645154,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5254237288135594, lift=5.29790975013105)]"
"frozenset({'nan', 'spaghetti', 'olive oil', 'mineral water', 'chocolate'})",0.0018531535561377723,"[OrderedStatistic(items_base=frozenset({'olive oil', 'nan', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5471698113207547, lift=5.517178078194903)]"
"frozenset({'nan', 'pancakes', 'spaghetti', 'mineral water', 'chocolate'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'nan', 'pancakes', 'chocolate', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5490196078431373, lift=5.535829795835861)]"
"frozenset({'nan', 'milk', 'frozen vegetables', 'eggs', 'mineral water'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'eggs', 'nan', 'frozen vegetables', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5090909090909091, lift=5.1332239925023435)]"
"frozenset({'nan', 'milk', 'ground beef', 'frozen vegetables', 'mineral water'})",0.001789251709374401,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'ground beef', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.6511627906976745, lift=6.565751618316951)]"
"frozenset({'nan', 'ground beef', 'frozen vegetables', 'spaghetti', 'mineral water'})",0.002108760943191258,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'ground beef', 'spaghetti'}), items_add=frozenset({'mineral water'}), confidence=0.5076923076923077, lift=5.119121728786677)]"
"frozenset({'nan', 'milk', 'frozen vegetables', 'spaghetti', 'mineral water'})",0.0021726627899546296,"[OrderedStatistic(items_base=frozenset({'frozen vegetables', 'nan', 'spaghetti', 'milk'}), items_add=frozenset({'mineral water'}), confidence=0.5573770491803278, lift=5.620098867669427)]"
"frozenset({'Butter', 'Milk', 'Panner', 'Ghee', 'Lassi', 'Coffee Powder', 'Sugar', 'Bread'})",0.002236564636718001,"[OrderedStatistic(items_base=frozenset({'Butter', 'Milk', 'Panner', 'Ghee', 'Coffee Powder', 'Sugar', 'Bread'}), items_add=frozenset({'Lassi'}), confidence=0.6603773584905661, lift=2.0508524078227564)]"
"frozenset({'Butter', 'nan', 'Milk', 'Panner', 'Ghee', 'Lassi', 'Coffee Powder', 'Sugar', 'Bread'})",0.002236564636718001,"[OrderedStatistic(items_base=frozenset({'Butter', 'nan', 'Milk', 'Panner', 'Ghee', 'Coffee Powder', 'Sugar', 'Bread'}), items_add=frozenset({'Lassi'}), confidence=0.6603773584905661, lift=2.0508524078227564)]"
